Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
1.614,3.44281302882388,3.39486200108722,-0.0241234663596548,-0.0175679458440214,-0.0179386328776197,0.000571268640433331,1.89368426538605e-05
1.615,3.44348368020262,3.39506937670479,-0.0243565336736928,-0.0177285376163812,-0.0181070285933127,0.000570387309954068,1.92631998744974e-05
1.616,3.44412124597959,3.3953082108149,-0.024557129790316,-0.0178655335630342,-0.0182513380202343,0.000569507338500586,1.95639457699626e-05
1.617,3.44472559519805,3.39557873564904,-0.0247250719947947,-0.0179788068629048,-0.0183714215635691,0.000568628723985221,1.98390174567242e-05
1.618,3.44529663884771,3.39588114133561,-0.024860219856512,-0.0180682613821705,-0.0184671709747906,0.000567751464328303,2.00883821036557e-05
1.619,3.44583432988551,3.39621557575272,-0.024962475313441,-0.0181338317348811,-0.0185385094320387,0.000566875557450608,2.03120366384368e-05
1.62,3.44633866320246,3.39658214443559,-0.0250317827020976,-0.0181754833040126,-0.0185853915800287,0.000566001001278682,2.05100074258668e-05
1.621,3.44680967553689,3.39698091053836,-0.0250681287330647,-0.0181932122230055,-0.0186078035295032,0.000565127793741294,2.06823499136477e-05
1.622,3.44724744533412,3.39741189485038,-0.0250715424122263,-0.0181870453179034,-0.0186057628163092,0.000564255932772539,2.08291482503564e-05
1.623,3.44765209255307,3.39787507586681,-0.0250420949079517,-0.0181570400102395,-0.0185793183202261,0.000563385416307405,2.09505148743849e-05
1.624,3.44802377841999,3.39837038991321,-0.024979899364507,-0.0181032841808695,-0.0185285501437296,0.000562516242288424,2.10465900743473e-05
1.625,3.44836270512985,3.39889773132401,-0.0248851106620664,-0.0180258959950246,-0.0184535694509114,0.000561648408657245,2.11175415232856e-05
1.626,3.44866911549589,3.39945695267437,-0.024757925123748,-0.0179250236888659,-0.0183545182668472,0.00056078191336173,2.11635637866192e-05
1.627,3.44894329254787,3.40004786506508,-0.0245985801701663,-0.0178008453179062,-0.0182315692377335,0.00055991675435374,2.11848778041146e-05
1.628,3.44918555907959,3.40067023845998,-0.0244073539220633,-0.0176535684676984,-0.0180849253521838,0.000559052929586024,2.11817303482076e-05
1.629,3.44939627714657,3.40132380207537,-0.0241845647516579,-0.0174834299272346,-0.0179148196241079,0.000558190437017103,2.11543934578451e-05
1.63,3.44957584751439,3.40200824482082,-0.0239305707833815,-0.0172906953255536,-0.0177215147376573,0.000557329274607277,2.11031638504e-05
1.631,3.44972470905869,3.40272321579062,-0.0236457693447769,-0.0170756587320953,-0.0175053026547562,0.000556469440322171,2.10283623115481e-05
1.632,3.44984333811769,3.40346832480523,-0.0233305963683605,-0.0168386422214,-0.017266504185804,0.000555610932128303,2.09303330641064e-05
1.633,3.44993224779807,3.40424314300177,-0.0229855257453417,-0.0165799954027603,-0.017005468524153,0.000554753747997072,2.08094431171646e-05
1.634,3.44999198723529,3.40504720347289,-0.0226110686321217,-0.016300094915529,-0.0167225727450404,0.000553897885902987,2.06660815965654e-05
1.635,3.45002314080939,3.40588000195291,-0.0222077727105736,-0.0159993438907775,-0.0164182212696748,0.000553043343821891,2.0500659056899e-05
